Incorrect Sentence,Correct Sentence
I goes to the store everyday.,I go to the store everyday.
They was playing soccer last night.,They were playing soccer last night.
She have completed her homework.,She has completed her homework.
He don't know the answer.,He doesn't know the answer.
The sun rise in the east.,The sun rises in the east.
I am eat pizza for lunch.,I am eating pizza for lunch.
The students studies for the exam.,The students study for the exam.
The car need to be repaired.,The car needs to be repaired.
She will goes to the party tonight.,She will go to the party tonight.
They watches the movie together.,They watch the movie together.
The flowers is blooming in spring.,The flowers bloom in spring.
She think she can finish the project.,She thinks she can finish the project.
The dogs barks at the mail carrier.,The dogs bark at the mail carrier.
The kids plays video games after school.,The kids play video games after school.
The computer not working properly.,The computer is not working properly.
He had sleep for ten hours.,He had slept for ten hours.
I walk to work every day last month.,I walked to work every day last month.
She will be write a book next year.,She will be writing a book next year.
The chef cook dinner for the guests.,The chef cooks dinner for the guests.
They plants a tree in the garden.,They plant a tree in the garden.
I has been to Paris three times.,I have been to Paris three times.
The cat catch the mouse yesterday.,The cat caught the mouse yesterday.
The airplane fly over the city.,The airplane flies over the city.
He do his homework every evening.,He does his homework every evening.
They was at the concert last night.,They were at the concert last night.
The computer running slow today.,The computer is running slow today.
She buy a new dress for the party.,She buys a new dress for the party.
The birds sings in the morning.,The birds sing in the morning.
He will finish the race in an hour.,He will finish the race in an hour.
She make a cake for her friend's birthday.,She makes a cake for her friend's birthday.
The train leave at 6 PM.,The train leaves at 6 PM.
They was listening to music.,They were listening to music.
The scientist perform experiments in the lab.,The scientist performs experiments in the lab.
The baby cry when it's hungry.,The baby cries when it's hungry.
The teacher teach the students in the classroom.,The teacher teaches the students in the classroom.
I was work on the project all day.,I was working on the project all day.
She has paint her room last week.,She painted her room last week.
The dog was chase the squirrel.,The dog was chasing the squirrel.
The flowers was watered by the gardener.,The flowers were watered by the gardener.
The car has been wash this morning.,The car has been washed this morning.
The manager gives a speech at the meeting.,The manager gave a speech at the meeting.
They takes a vacation every summer.,They take a vacation every summer.
He swims in the pool every day last summer.,He swam in the pool every day last summer.
The athlete wins the gold medal in the race.,The athlete won the gold medal in the race.
She is dance at the party last night.,She was dancing at the party last night.
The teacher was grading the papers all night.,The teacher graded the papers all night.
The children build a sandcastle on the beach.,The children built a sandcastle on the beach.
The company launch a new product next month.,The company will launch a new product next month.
I have been study for the test for two weeks.,I have been studying for the test for two weeks.
The photographer take a picture of the sunset.,The photographer took a picture of the sunset.
The artist was draw a portrait of the model.,The artist was drawing a portrait of the model.
He is read a book before going to bed.,He reads a book before going to bed.
The player scores a goal during the match.,The player scored a goal during the match.
The tourists visit the museum yesterday.,The tourists visited the museum yesterday.
The weather forecast say it will rain tomorrow.,The weather forecast says it will rain tomorrow.
The farmer has plant the seeds in the field.,The farmer has planted the seeds in the field.
She has been make dinner for the family.,She has been making dinner for the family.
The students were study for their exams.,The students were studying for their exams.
The concert begins in an hour.,The concert will begin in an hour.
The neighbors was moving out yesterday.,The neighbors were moving out yesterday.
The children has fun at the amusement park.,The children had fun at the amusement park.
The pilot was fly the plane during the storm.,The pilot was flying the plane during the storm.
She has bake cookies for the bake sale.,She has baked cookies for the bake sale.
The waiter serve the food to the customers.,The waiter served the food to the customers.
The author has been write a new book.,The author has been writing a new book.
The delivery driver brings the package yesterday.,The delivery driver brought the package yesterday.
The students was taking a test in the classroom.,The students were taking a test in the classroom.
He is take a break from work.,He is taking a break from work.
The party was organize by the event planner.,The party was organized by the event planner.
The mechanic was fixing the car.,The mechanic fixed the car.
The movie start at 8 PM.,The movie starts at 8 PM.
The gardener is plant flowers in the garden.,The gardener is planting flowers in the garden.
The team were working on the project.,The team was working on the project.
The musician perform at the concert.,The musician performed at the concert.
She is going to shopping after work.,She is going shopping after work.
The store close at 9 PM tonight.,The store closes at 9 PM tonight.
The cat was lay on the sofa.,The cat was lying on the sofa.
The engine is make a strange noise.,The engine is making a strange noise.
The students are prepare for their presentations.,The students are preparing for their presentations.
The volunteers was helping at the event.,The volunteers were helping at the event.
The birds was flying south for the winter.,The birds were flying south for the winter.
The cake was bake in the oven.,The cake was baked in the oven.
The package is deliver yesterday.,The package was delivered yesterday.
The athlete is train for the competition.,The athlete is training for the competition.
The car was wash by the teenager.,The car was washed by the teenager.
She is speak at the conference tomorrow.,She is speaking at the conference tomorrow.
The doctor was examine the patient.,The doctor examined the patient.
The store is open late on Fridays.,The store opens late on Fridays.
The tree was falling during the storm.,The tree fell during the storm.
The children was playing in the park.,The children were playing in the park.
The cake is frost with chocolate icing.,The cake is frosted with chocolate icing.
The employee is work late tonight.,The employee is working late tonight.
